Salesforce_Table,Sensible_Python_Key,Actual_Salesforce_API_Name,Data_Type,Description,ScriptsUsing
Case,case_subject,Subject,,,TRUE
Case,case_suppliedcompany,SuppliedCompany,,,FALSE
Case,case_suppliedemail,SuppliedEmail,,,FALSE
Case,case_suppliedname,SuppliedName,,,FALSE
Case,case_suppliedphone,SuppliedPhone,,,FALSE
Case,case_support_functions,Support_Functions__c,,,FALSE
Case,case_support_office_address,Support_Office_Address__c,,,FALSE
Case,case_systemmodstamp,SystemModstamp,,,FALSE
Case,case_topic,Topic__c,,,FALSE
Case,case_topic_2,Topic_2__c,,,FALSE
Case,case_topic_3,Topic_3__c,,,FALSE
Case,case_topic_4,Topic_4__c,,,FALSE
Case,case_transport_material,Transport_material_to_the_job_site__c,,,FALSE
Case,case_type,Type,,,FALSE
Cert_Audit__c,audit_additional_audit,Additional_Audit__c,,,FALSE
Cert_Audit__c,audit_additional_explanation,Additional_Audit_Explanation__c,,,FALSE
Cert_Audit__c,audit_additional_recommended,Additional_Audit_Recommended__c,,,FALSE
Cert_Audit__c,audit_ap_contact,AP_Contact__c,,,FALSE
Cert_Audit__c,audit_aoc_effective,Area_of_Concern_Effective__c,,,FALSE
Cert_Audit__c,audit_aoc_reviewed,Area_of_Concerned_Reviewed__c,,,FALSE
Cert_Audit__c,audit_areas,Areas__c,,,FALSE
Cert_Audit__c,audit_geo_lat,Audit_Geolocation__Latitude__s,,,FALSE
Cert_Audit__c,audit_geo_long,Audit_Geolocation__Longitude__s,,,FALSE
Cert_Audit__c,audit_location,Audit_Location__c,,,FALSE
Cert_Audit__c,audit_non,Audit_Non__c,,,FALSE
Cert_Audit__c,audit_nonco,Audit_Nonco__c,,,FALSE
Cert_Audit__c,audit_nc_reviewed,Audit_Nonconformance_Reviewed__c,,,FALSE
Cert_Audit__c,audit_number_reviewed,Audit_Number_Reviewed__c,,,FALSE
Cert_Audit__c,audit_time_change_explanation,Audit_Time_Change_Explanation__c,,,FALSE
Cert_Audit__c,audit_auditor,Auditor__c,,,FALSE
Cert_Audit__c,audit_auditor_comments,Auditor_s_Comments__c,,,FALSE
Cert_Audit__c,audit_auditor_sugg,Auditor_s_Opinion_for_Opportunities_Sugg__c,,,FALSE
Cert_Audit__c,audit_car_evidence_received,CAR_Evidence_Received__c,,,FALSE
Cert_Audit__c,audit_acctid,Cert_Account__c,,,TRUE
Cert_Audit__c,audit_cert_audit_assignment,Cert_Audit_Assignment__c,,,FALSE
Cert_Audit__c,audit_auditdate,Cert_Audit_Date__c,,,TRUE
Cert_Audit__c,audit_cert_audit_duration,Cert_Audit_Duration__c,,,FALSE
Cert_Audit__c,audit_cert_audit_package,Cert_Audit_Package__c,,,FALSE
Cert_Audit__c,audit_cert_audit_plan_status,Cert_Audit_Plan_Status__c,,,FALSE
Cert_Audit__c,audit_cert_audit_scope,Cert_Audit_Scope__c,,,FALSE
Cert_Audit__c,audit_status,Cert_Audit_Status__c,Picklist,The exact validated workflow status string,TRUE
Cert_Audit__c,audit_cert_audit_type,Cert_Audit_Type__c,,,FALSE
Cert_Audit__c,audit_cancellation_reason,Cert_Cancellation_Reason__c,,,FALSE
